263	Cæsars	188844	48970	68	0.42341879543579447
264	Hist_Natur	188844	49038	68	0.42341879543579447
265	Mémoires	188844	49106	68	0.42341879543579447
266	Geograph	188844	49174	68	0.42341879543579447
267	Rienzi	188844	49242	68	0.42341879543579447
268	Valerian	188844	49309	67	0.4171920484440916
269	Orientale	188844	49376	67	0.4171920484440916
270	Augustan	188844	49442	66	0.41096530145238874
271	Moors	188844	49508	66	0.41096530145238874
272	Plutarch	188844	49574	66	0.41096530145238874
273	Florence	188844	49640	66	0.41096530145238874
274	Roma	188844	49706	66	0.41096530145238874
275	Ducas	188844	49772	66	0.41096530145238874
276	Evagrius	188844	49838	66	0.41096530145238874
277	Theodoret	188844	49904	66	0.41096530145238874
278	Phranza	188844	49970	66	0.41096530145238874
279	Romanus	188844	50035	65	0.40473855446068585
280	Mediterranean	188844	50100	65	0.40473855446068585
281	Edessa	188844	50165	65	0.40473855446068585
282	Arians	188844	50230	65	0.40473855446068585
283	Norman	188844	50295	65	0.40473855446068585
284	Apulia	188844	50359	64	0.398511807468983
285	Nicomedia	188844	50423	64	0.398511807468983
286	European	188844	50486	63	0.3922850604772802
287	Gauls	188844	50549	63	0.3922850604772802
288	Agathias	188844	50612	63	0.3922850604772802
289	Cassiodorus	188844	50675	63	0.3922850604772802
290	Thessalonica	188844	50738	63	0.3922850604772802
291	Cyril	188844	50801	63	0.3922850604772802
292	Villehardouin	188844	50864	63	0.3922850604772802
293	Bajazet	188844	50927	63	0.3922850604772802
294	Verona	188844	50989	62	0.3860583134855773
295	Otho	188844	51051	62	0.3860583134855773
296	Heineccius	188844	51113	62	0.3860583134855773
297	Caspian	188844	51175	62	0.3860583134855773
298	Nazianzen	188844	51237	62	0.3860583134855773
299	Gagnier	188844	51299	62	0.3860583134855773
300	Ostrogoths	188844	51360	61	0.37983156649387445
301	Russians	188844	51421	61	0.37983156649387445
302	Mesopotamia	188844	51482	61	0.37983156649387445
303	Mogul	188844	51543	61	0.37983156649387445
304	Aquileia	188844	51604	61	0.37983156649387445
305	Elmacin	188844	51665	61	0.37983156649387445
306	Gregoras	188844	51726	61	0.37983156649387445
307	Domitian	188844	51786	60	0.37360481950217156
308	Virgil	188844	51846	60	0.37360481950217156
309	Alani	188844	51906	60	0.37360481950217156
310	Colonna	188844	51966	60	0.37360481950217156
311	Fabricius	188844	52025	59	0.3673780725104687
312	Indian	188844	52084	59	0.3673780725104687
313	Theod	188844	52143	59	0.3673780725104687
314	MŽm	188844	52202	59	0.3673780725104687
315	Philostorgius	188844	52261	59	0.3673780725104687
316	Amurath	188844	52320	59	0.3673780725104687
317	Decius	188844	52378	58	0.36115132551876583
318	Mahometans	188844	52436	58	0.36115132551876583
319	Genoese	188844	52494	58	0.36115132551876583
320	Abu	188844	52552	58	0.36115132551876583
321	Avars	188844	52609	57	0.354924578527063
322	Arabians	188844	52666	57	0.354924578527063
323	Vopiscus	188844	52723	57	0.354924578527063
324	Montesquieu	188844	52780	57	0.354924578527063
325	Godefroy	188844	52837	57	0.354924578527063
326	Hungarians	188844	52893	56	0.34869783153536016
327	Spanheim	188844	52949	56	0.34869783153536016
328	Burgundy	188844	53005	56	0.34869783153536016
329	Eunapius	188844	53061	56	0.34869783153536016
330	Saladin	188844	53117	56	0.34869783153536016
331	Baldwin	188844	53173	56	0.34869783153536016
332	Majorian	188844	53228	55	0.34247108454365727
333	Hercules	188844	53283	55	0.34247108454365727
334	Venetian	188844	53338	55	0.34247108454365727
335	Bulgaria	188844	53393	55	0.34247108454365727
336	Mussulman	188844	53448	55	0.34247108454365727
337	Avignon	188844	53503	55	0.34247108454365727
338	Gutenberg-tm	188844	53558	55	0.34247108454365727
339	Spanish	188844	53612	54	0.33624433755195443
340	Roger	188844	53665	53	0.33001759056025154
341	Baltic	188844	53718	53	0.33001759056025154
342	Joseph	188844	53771	53	0.33001759056025154
343	Illyrian	188844	53824	53	0.33001759056025154
344	Macedonia	188844	53877	53	0.33001759056025154
345	Annali	188844	53930	53	0.33001759056025154
346	Pavia	188844	53983	53	0.33001759056025154
347	Stephen	188844	54036	53	0.33001759056025154
348	Bithynia	188844	54088	52	0.3237908435685487
349	Sarmatians	188844	54140	52	0.3237908435685487
350	Persic	188844	54192	52	0.3237908435685487
351	Bibliot_Orient	188844	54244	52	0.3237908435685487
352	London	188844	54295	51	0.31756409657684587
353	Julius	188844	54346	51	0.31756409657684587
354	Babylon	188844	54397	51	0.31756409657684587
355	Propontis	188844	54448	51	0.31756409657684587
356	Photius	188844	54499	51	0.31756409657684587
357	Soliman	188844	54550	51	0.31756409657684587
358	Opp	188844	54601	51	0.31756409657684587
359	Anna	188844	54652	51	0.31756409657684587
360	Eugenius	188844	54702	50	0.311337349585143
361	Anthemius	188844	54752	50	0.311337349585143
362	Zoroaster	188844	54802	50	0.311337349585143
363	Assyria	188844	54852	50	0.311337349585143
364	Antiq	188844	54902	50	0.311337349585143
365	Cyrus	188844	54952	50	0.311337349585143
366	Suevi	188844	55002	50	0.311337349585143
367	Liutprand	188844	55052	50	0.311337349585143
368	Cons	188844	55102	50	0.311337349585143
369	Fleury	188844	55152	50	0.311337349585143
370	Caled	188844	55202	50	0.311337349585143
371	Godfrey	188844	55251	49	0.30511060259344014
372	Memoires	188844	55300	49	0.30511060259344014
373	Ulpian	188844	55349	49	0.30511060259344014
374	Institut	188844	55398	49	0.30511060259344014
375	Nicene	188844	55447	49	0.30511060259344014
376	Avitus	188844	55495	48	0.29888385560173725
377	Abbassides	188844	55543	48	0.29888385560173725
378	Herodotus	188844	55591	48	0.29888385560173725
379	Aleppo	188844	55639	48	0.29888385560173725
380	Syriac	188844	55687	48	0.29888385560173725
381	Aristotle	188844	55735	48	0.29888385560173725
382	Theodos	188844	55783	48	0.29888385560173725
383	Hist_Eccles	188844	55831	48	0.29888385560173725
384	Graec	188844	55879	48	0.29888385560173725
385	Greg	188844	55927	48	0.29888385560173725
386	Wilken	188844	55975	48	0.29888385560173725
387	Nushirvan	188844	56022	47	0.2926571086100344
388	Armenians	188844	56069	47	0.2926571086100344
389	Campania	188844	56116	47	0.2926571086100344
390	Pontus	188844	56163	47	0.2926571086100344
391	Calabria	188844	56210	47	0.2926571086100344
392	Placidia	188844	56257	47	0.2926571086100344
393	Excerpt	188844	56304	47	0.2926571086100344
394	Clerc	188844	56351	47	0.2926571086100344
395	Theodore	188844	56398	47	0.2926571086100344
396	Isidore	188844	56445	47	0.2926571086100344
397	Adrianople	188844	56492	47	0.2926571086100344
398	Anatolia	188844	56539	47	0.2926571086100344
399	Chalcondyles	188844	56586	47	0.2926571086100344
400	Guizot	188844	56632	46	0.2864303616183315
401	Sueton	188844	56678	46	0.2864303616183315
402	Tripoli	188844	56724	46	0.2864303616183315
403	Antiquitat	188844	56770	46	0.2864303616183315
404	Basnage	188844	56816	46	0.2864303616183315
405	Volga	188844	56862	46	0.2864303616183315
406	Hugo	188844	56908	46	0.2864303616183315
407	St_John	188844	56953	45	0.2802036146266287
408	Odoacer	188844	56998	45	0.2802036146266287
409	Totila	188844	57043	45	0.2802036146266287
410	Paulicians	188844	57088	45	0.2802036146266287
411	Dionysius	188844	57133	45	0.2802036146266287
412	Ms	188844	57178	45	0.2802036146266287
413	St_Paul	188844	57223	45	0.2802036146266287
414	Thracian	188844	57268	45	0.2802036146266287
415	Ital	188844	57313	45	0.2802036146266287
416	Legat	188844	57358	45	0.2802036146266287
417	Idatius	188844	57403	45	0.2802036146266287
418	Caesarea	188844	57448	45	0.2802036146266287
419	Abbe	188844	57493	45	0.2802036146266287
420	Christendom	188844	57538	45	0.2802036146266287
421	Dacia	188844	57582	44	0.27397686763492585
422	Voltaire	188844	57626	44	0.27397686763492585
423	Epirus	188844	57670	44	0.27397686763492585
424	Egyptians	188844	57714	44	0.27397686763492585
425	Montfaucon	188844	57758	44	0.27397686763492585
426	Arles	188844	57802	44	0.27397686763492585
427	Critica	188844	57846	44	0.27397686763492585
428	Saxon	188844	57890	44	0.27397686763492585
429	Nicholas	188844	57934	44	0.27397686763492585
430	Constans	188844	57977	43	0.26775012064322296
431	Nestorius	188844	58020	43	0.26775012064322296
432	Vespasian	188844	58063	43	0.26775012064322296
433	Nisibis	188844	58106	43	0.26775012064322296
434	Hebrew	188844	58149	43	0.26775012064322296
435	Esprit	188844	58192	43	0.26775012064322296
436	Valesius	188844	58235	43	0.26775012064322296
437	Constantin	188844	58278	43	0.26775012064322296
438	Urban	188844	58321	43	0.26775012064322296
439	Pachymer	188844	58364	43	0.26775012064322296
440	Elagabalus	188844	58406	42	0.2615233736515201
441	Nestorians	188844	58448	42	0.2615233736515201
442	Guiscard	188844	58490	42	0.2615233736515201
443	Reiske	188844	58532	42	0.2615233736515201
444	Sallust	188844	58574	42	0.2615233736515201
445	Giannone	188844	58616	42	0.2615233736515201
446	Bleterie	188844	58658	42	0.2615233736515201
447	Syrians	188844	58700	42	0.2615233736515201
448	Ctesiphon	188844	58742	42	0.2615233736515201
449	Eutychius	188844	58784	42	0.2615233736515201
450	Mary	188844	58826	42	0.2615233736515201
451	Othman	188844	58868	42	0.2615233736515201
452	Theophylact	188844	58910	42	0.2615233736515201
453	Antonina	188844	58952	42	0.2615233736515201
454	Koreish	188844	58994	42	0.2615233736515201
455	Cantemir	188844	59036	42	0.2615233736515201
456	Phocas	188844	59077	41	0.2552966266598172
457	Poland	188844	59118	41	0.2552966266598172
458	Ptolemy	188844	59159	41	0.2552966266598172
459	Sirmium	188844	59200	41	0.2552966266598172
460	Malala	188844	59241	41	0.2552966266598172
461	Origen	188844	59282	41	0.2552966266598172
462	Courtenay	188844	59323	41	0.2552966266598172
463	Zeno	188844	59363	40	0.2490698796681144
464	Arab	188844	59403	40	0.2490698796681144
465	Genoa	188844	59443	40	0.2490698796681144
466	Macedonian	188844	59483	40	0.2490698796681144
467	Corinth	188844	59523	40	0.2490698796681144
468	Codex	188844	59563	40	0.2490698796681144
469	Pompey	188844	59603	40	0.2490698796681144
470	Chardin	188844	59643	40	0.2490698796681144
471	Oxus	188844	59683	40	0.2490698796681144
472	Heruli	188844	59723	40	0.2490698796681144
473	Byzant	188844	59763	40	0.2490698796681144
474	Zenobia	188844	59803	40	0.2490698796681144
475	Gnostics	188844	59843	40	0.2490698796681144
476	AbbŽ	188844	59883	40	0.2490698796681144
477	Symmachus	188844	59923	40	0.2490698796681144
478	Irene	188844	59963	40	0.2490698796681144
479	Comnena	188844	60003	40	0.2490698796681144
480	Cairo	188844	60042	39	0.24284313267641153
481	Russian	188844	60081	39	0.24284313267641153
482	Lipsius	188844	60120	39	0.24284313267641153
483	Cilicia	188844	60159	39	0.24284313267641153
484	Cyprus	188844	60198	39	0.24284313267641153
485	Treves	188844	60237	39	0.24284313267641153
486	Byzantium	188844	60276	39	0.24284313267641153
487	Wesseling	188844	60315	39	0.24284313267641153
488	Paschal	188844	60354	39	0.24284313267641153
489	Lewis	188844	60393	39	0.24284313267641153
490	Pandect	188844	60432	39	0.24284313267641153
491	Gepidae	188844	60471	39	0.24284313267641153
492	Italicarum	188844	60510	39	0.24284313267641153
493	Artaxerxes	188844	60548	38	0.23661638568470866
494	Britons	188844	60586	38	0.23661638568470866
495	Appian	188844	60624	38	0.23661638568470866
496	Dubos	188844	60662	38	0.23661638568470866
497	Crispus	188844	60700	38	0.23661638568470866
498	Bayle	188844	60738	38	0.23661638568470866
499	Sirmond	188844	60776	38	0.23661638568470866
500	Bibliot	188844	60814	38	0.23661638568470866
501	Joinville	188844	60852	38	0.23661638568470866
502	Hegira	188844	60890	38	0.23661638568470866
503	David	188844	60927	37	0.2303896386930058
504	Eudocia	188844	60964	37	0.2303896386930058
505	Jacobites	188844	61001	37	0.2303896386930058
506	Shah	188844	61038	37	0.2303896386930058
507	Flanders	188844	61075	37	0.2303896386930058
508	Dalmatia	188844	61112	37	0.2303896386930058
509	Seneca	188844	61149	37	0.2303896386930058
510	Italia	188844	61186	37	0.2303896386930058
511	Dupin	188844	61223	37	0.2303896386930058
512	Sweden	188844	61260	37	0.2303896386930058
513	Abraham	188844	61297	37	0.2303896386930058
514	Alexandrian	188844	61334	37	0.2303896386930058
515	Scythians	188844	61371	37	0.2303896386930058
516	Sulpicius	188844	61408	37	0.2303896386930058
517	Apollinaris	188844	61445	37	0.2303896386930058
518	Renaudot	188844	61482	37	0.2303896386930058
519	Merovingian	188844	61519	37	0.2303896386930058
520	Asseman	188844	61556	37	0.2303896386930058
521	Amrou	188844	61593	37	0.2303896386930058
522	Magnentius	188844	61629	36	0.22416289170130294
523	Boethius	188844	61665	36	0.22416289170130294
524	Xenophon	188844	61701	36	0.22416289170130294
525	Protestant	188844	61737	36	0.22416289170130294
526	Pyrenees	188844	61773	36	0.22416289170130294
527	Lyons	188844	61809	36	0.22416289170130294
528	Tartary	188844	61845	36	0.22416289170130294
529	Marcellus	188844	61881	36	0.22416289170130294
530	Dynast	188844	61917	36	0.22416289170130294
531	Moorish	188844	61953	36	0.22416289170130294
532	Ghost	188844	61989	36	0.22416289170130294
533	Procop	188844	62025	36	0.22416289170130294
534	Hungarian	188844	62061	36	0.22416289170130294
535	Matthew	188844	62097	36	0.22416289170130294
536	Medii	188844	62133	36	0.22416289170130294
537	Anecdot	188844	62169	36	0.22416289170130294
538	Lucian	188844	62204	35	0.2179361447096001
539	Romulus	188844	62239	35	0.2179361447096001
540	Vienna	188844	62274	35	0.2179361447096001
541	Antony	188844	62309	35	0.2179361447096001
542	Eutrop	188844	62344	35	0.2179361447096001
543	Beausobre	188844	62379	35	0.2179361447096001
544	Teutonic	188844	62414	35	0.2179361447096001
545	Easter	188844	62449	35	0.2179361447096001
546	MS	188844	62484	35	0.2179361447096001
547	Lateran	188844	62519	35	0.2179361447096001
548	Nestorian	188844	62554	35	0.2179361447096001
549	Ricimer	188844	62589	35	0.2179361447096001
550	Script_Rerum	188844	62624	35	0.2179361447096001
551	Donatists	188844	62658	34	0.21170939771789724
552	Solomon	188844	62692	34	0.21170939771789724
553	Sclavonian	188844	62726	34	0.21170939771789724
554	Peloponnesus	188844	62760	34	0.21170939771789724
555	Africans	188844	62794	34	0.21170939771789724
556	Emesa	188844	62828	34	0.21170939771789724
557	Grotius	188844	62862	34	0.21170939771789724
558	Mss	188844	62896	34	0.21170939771789724
559	Istoria	188844	62930	34	0.21170939771789724
560	Janizaries	188844	62964	34	0.21170939771789724
561	Amida	188844	62998	34	0.21170939771789724
562	Rimini	188844	63032	34	0.21170939771789724
563	Maracci	188844	63066	34	0.21170939771789724
564	Samarcand	188844	63100	34	0.21170939771789724
565	Raymond	188844	63134	34	0.21170939771789724
566	Moslem	188844	63168	34	0.21170939771789724
567	Bohemond	188844	63202	34	0.21170939771789724
568	Horace	188844	63235	33	0.20548265072619437
569	Juvenal	188844	63268	33	0.20548265072619437
570	Caucasus	188844	63301	33	0.20548265072619437
571	Tiridates	188844	63334	33	0.20548265072619437
572	Clement	188844	63367	33	0.20548265072619437
573	Vales	188844	63400	33	0.20548265072619437
574	Benedict	188844	63433	33	0.20548265072619437
575	Anne	188844	63466	33	0.20548265072619437
576	Adrian	188844	63499	33	0.20548265072619437
577	Sherefeddin	188844	63532	33	0.20548265072619437
578	Arianism	188844	63564	32	0.1992559037344915
579	Hindostan	188844	63596	32	0.1992559037344915
580	Gibbon’s	188844	63628	32	0.1992559037344915
